[header]
width=20
height=15
tilewidth=32
tileheight=32
orientation=orthogonal

[tilesets]
tileset=../res/tileset.png,31,31,0,0

[layer]
type=Tile Layer 1
data=
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,11],
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12],
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12],
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12],
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12],
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12],
11,0,0,0,0,0,0,1,14,14,14,14,1,0,0,0,0,0,0,12],
11,0,0,0,0,0,0,13,1,1,1,1,12,0,0,0,0,0,0,12],
11,0,0,0,0,0,0,13,1,1,1,1,12,0,0,0,0,0,0,12],
11,0,0,0,0,0,0,13,1,1,1,1,12,0,0,0,0,0,0,12],
11,0,0,0,0,0,0,13,1,1,1,1,12,0,0,0,0,0,0,12],
11,0,0,0,0,0,0,1,9,9,9,9,1,0,0,0,0,0,0,12],
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12],
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12],
14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,16]

